City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Coos Bay,43.3665,-124.2179,56.98,97,100,14.97,US,2022-05-06 04:06:56
68,Sola,-13.8833,167.55,82.06,75,18,11.54,VU,2022-05-06 04:06:57
69,Port Alfred,-33.5906,26.891,66.4,55,0,10.45,ZA,2022-05-06 04:06:57
70,Qaanaaq,77.484,-69.3632,11.39,76,42,7.96,GL,2022-05-06 04:06:58
71,Chokurdakh,70.6333,147.9167,28.85,88,100,10.31,RU,2022-05-06 04:06:58
72,Cherskiy,68.75,161.3,35.37,100,100,9.46,RU,2022-05-06 04:06:59
73,Bambous Virieux,-20.3428,57.7575,77.25,83,75,19.57,MU,2022-05-06 04:06:59
74,Saskylakh,71.9167,114.0833,29.32,96,100,8.84,RU,2022-05-06 04:07:00
75,Mahebourg,-20.4081,57.7,77.29,83,75,19.57,MU,2022-05-06 04:07:00
76,Kavaratti,10.5669,72.642,84.92,71,100,12.48,IN,2022-05-06 04:07:01
77,Vila Velha,-20.3297,-40.2925,76.95,94,100,3.44,BR,2022-05-06 04:07:01
78,Knappskog,60.3819,5.0558,49.78,87,75,10.36,NO,2022-05-06 04:07:02
79,Egvekinot,66.3167,-179.1667,21.33,89,90,2.91,RU,2022-05-06 04:07:02
80,Bosilegrad,42.5011,22.4724,47.23,88,12,1.25,RS,2022-05-06 04:07:03
81,Ipixuna,-1.7625,-48.8043,74.23,98,100,2.93,BR,2022-05-06 04:07:03
82,Asau,46.4333,26.4,40.28,77,28,1.45,RO,2022-05-06 04:07:03
83,Lompoc,34.6391,-120.4579,55.78,80,0,23.0,US,2022-05-06 04:06:25
84,Sidrolandia,-20.9319,-54.9614,55.99,94,0,5.91,BR,2022-05-06 04:07:04
85,Castro,-24.7911,-50.0119,53.2,95,3,2.28,BR,2022-05-06 04:07:05
86,Lethem,3.3803,-59.7968,77.11,82,86,8.05,GY,2022-05-06 04:07:05
87,Jutai,-5.1833,-68.9,71.26,97,55,1.34,BR,2022-05-06 04:07:05
88,Longyearbyen,78.2186,15.6401,24.64,86,75,11.5,SJ,2022-05-06 04:03:56
89,Nicoya,10.1483,-85.452,77.65,89,94,3.18,CR,2022-05-06 04:07:06
90,Winslow,35.0242,-110.6974,66.38,15,0,10.36,US,2022-05-06 04:07:07
91,Tasiilaq,65.6145,-37.6368,23.16,70,10,7.36,GL,2022-05-06 04:08:07
92,Wyoming,43.0002,-107.5009,57.0,39,100,17.78,US,2022-05-06 04:08:08
93,Nsukka,6.8561,7.3927,70.48,92,100,2.59,NG,2022-05-06 04:08:08
94,Dikson,73.5069,80.5464,16.18,91,100,23.09,RU,2022-05-06 04:08:09
95,Pangkalanbuun,-2.6833,111.6167,93.51,50,16,2.64,ID,2022-05-06 04:08:09
96,Soyo,-6.1349,12.3689,76.46,89,65,3.94,AO,2022-05-06 04:08:10
97,Berlevag,70.8578,29.0864,35.4,89,100,14.85,NO,2022-05-06 04:08:10
98,Corn Island,12.1694,-83.0418,81.07,82,99,13.27,NI,2022-05-06 04:08:11
99,Zhigansk,66.7697,123.3711,29.73,92,15,8.75,RU,2022-05-06 04:08:11
100,Yafran,32.0633,12.5286,66.16,26,17,7.31,LY,2022-05-06 04:08:12
101,Bad Wildungen,51.1196,9.1248,40.62,87,20,4.61,DE,2022-05-06 04:08:13
102,Kavieng,-2.5744,150.7967,84.51,75,65,12.86,PG,2022-05-06 04:08:13
103,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.06,82,100,8.32,BR,2022-05-06 04:08:13
104,Cap Malheureux,-19.9842,57.6142,73.47,86,80,8.01,MU,2022-05-06 04:08:14
105,New Norfolk,-42.7826,147.0587,56.91,89,95,1.99,AU,2022-05-06 04:08:14
106,Mataura,-46.1927,168.8643,65.48,75,100,1.48,NZ,2022-05-06 04:08:15
107,Carnarvon,-24.8667,113.6333,86.07,25,0,9.22,AU,2022-05-06 04:08:16
108,Saint-Philippe,-21.3585,55.7679,76.59,84,61,17.49,RE,2022-05-06 04:08:16
109,Mildura,-34.2,142.15,59.07,47,75,8.05,AU,2022-05-06 04:08:16
110,Hualmay,-11.0964,-77.6139,64.26,89,27,7.9,PE,2022-05-06 04:08:17
111,Isangel,-19.55,169.2667,79.7,73,10,14.32,VU,2022-05-06 04:07:47
112,Dalvik,65.9702,-18.5286,30.58,96,100,8.23,IS,2022-05-06 04:08:18
113,Dunedin,-45.8742,170.5036,60.8,62,100,4.0,NZ,2022-05-06 04:08:18
114,Labytnangi,66.6572,66.4183,23.52,78,85,7.36,RU,2022-05-06 04:08:19
